gen,best,avg
0,41.97046689057004,3.2355514913728363
1,5.064612571903334,2.9324913786804685
2,6.705302859470644,2.5111094917844246
3,208.925989514148,8.556127857225642
4,73.70191134928538,4.9910135842475025
5,35.69260552299888,4.000171517908925
6,333.64134020050955,18.467370972967682
7,5.197868949636245,2.4049159263177007
8,6.167150715254801,2.8003701007588706
9,74.3701246520882,4.58729619383894
10,5.879578074784363,2.898531995223042
11,5.3275243657712705,2.1101634002565794
12,6.082962286686428,2.4814441204521316
13,6.062941981948672,2.7291175805582144
14,4.717546691189423,2.77387267113612
15,3.955595532419029,2.7742915163981805
16,5.818370963563479,2.59027883745127
17,6.778162023210508,2.8124436520552285
18,4.902284304808495,2.614834186205016
19,6.3659060618339645,2.5296649715614308
20,10.127992275514252,2.9684853573797905
21,5.628121425026494,2.833601114151816
22,5.889800646741911,3.2914641657156203
23,5.768804038304367,2.477816095693373
24,6.11427808593153,3.2701105488287334
25,5.815783220248189,2.7144772915207946
26,6.309386871891572,2.954559704849509
27,34.33291081792881,3.9453164308639934
28,235.47296371560284,8.826092984203566
29,13.838671070987779,3.44584114248958
30,5.023901100878688,2.9427820592770604
31,5.767338498854657,2.775020457821591
32,4.8623462782402225,2.5267412360852526
33,5.703746214048502,2.839878859133331
34,6.410392715575493,2.7405915657539395
35,5.845572753999695,2.519230285191882
36,5.436087740758279,2.793764901646538
37,68.71836627970738,4.27053650969614
38,5.842603363764455,2.6437322756295587
39,14.04215600973252,2.889253601195644
40,11.108913120554202,3.371084845273919
41,58.608705808138616,4.611867628865314
42,8.10151158367696,3.11071264832714
43,15.271203919507414,3.4704835863098666
44,191.93063150433025,8.038969498549582
45,8.030550480236922,4.517557903635252
46,78.43724191351694,5.5773663948750665
47,6.911515278579534,3.233554924039011
48,3.6748296994994445,1.7823553548021358
49,5.395263059425064,3.2471006837053253
50,5.7260062534676015,2.4641118326520184
51,3.8015563521712212,2.0977324063991483
52,4.021502316195113,2.621760549952635
53,15.312030505281314,3.257288643562103
54,3.9239004209668744,2.302747714696969
55,262.7932049045545,9.609715288743102
56,6.420178006588007,3.243439949413144
57,10.511942029057948,3.2295120812221123
58,33.5532077787069,5.111120665555229
59,137.8379435651747,7.624393527001416
60,10.371480062500261,2.0980681216217656
61,31.864702284221746,3.000483304441686
62,69.67661801085904,6.608349287020525
63,5.66051610247879,2.3905874152396946
64,109.28805424828629,5.759438724120246
65,3.8780089174223673,2.1464492313141177
66,5.106147799082676,1.895413546308164
67,38.99914413816185,3.7283816890706674
68,5.658746418986605,3.064431565956832
69,231.056934629172,8.36238107287046
70,5.650164681521806,2.819661912545819
71,10.86267921047483,3.0062575003887053
72,4.5051956051008215,2.2598483408152354
73,6.201949783342395,2.4652519007960505
74,6.198246277178354,3.7503684154621295
75,21.650129070131896,4.0199374288094125
76,6.224333653466706,4.02543117888467
77,5.532748321335445,2.3344247144901926
78,287.21449085118303,10.335571818770406
79,5.772105773475464,2.5961787422987355
80,5.779015577001998,3.032649921527291
81,5.701530458432029,3.1575463654034523
82,6.269693120285792,2.4087143791299566
83,6.35876362457685,3.676657238826518
84,4.242218215385741,1.6430631925251444
85,4.723218193694013,2.504949179953305
86,4.857325701422619,2.6127257218932725
87,43.010924602122834,3.946577021640197
88,5.643530106228917,2.5354054315842447
89,36.67501330602555,3.3363162612510733
90,6.0458721390373364,3.6096920076211196
91,7.89001616745865,3.2596530918210513
92,21.110614316469995,4.338897017711837
93,4.7658845923373,2.0255326953679016
94,4.458222090603426,2.699718202209593
95,5.749684510599609,2.3686415685334796
96,6.37111935742483,2.9224301430748882
97,22.798295116032907,3.6625778365885644
98,6.183541030687525,4.109094834952275
99,4.847825604742887,1.5389071056435462
100,3.5633482312357265,2.197712032901696
101,5.813890885063795,2.640045333102647
102,5.525414657063745,3.001755641605489
103,12.732545165961861,2.878592804429522
104,6.256939655282091,2.9391961879053965
105,6.073100017867745,2.6654852613308213
106,5.705617691980954,2.7412371746584014
107,5.69818537246341,3.8247008409338905
108,5.950395600052708,3.4010943441271353
109,5.9269389569633635,3.264373706149845
110,5.189343657344258,3.1465705792206546
111,5.568292382487854,3.001974727113436
112,5.187723429177304,3.0504635563980154
113,6.158282974040732,3.759793440930855
114,6.008318063731081,2.3830035466250172
115,5.970007068023223,2.509106860275768
116,4.196966201676048,2.200506811963925
117,5.635723689166588,2.654139381825704
118,5.983814399378061,2.538015513910112
119,17.755118558140087,3.8547900725555166
120,11.06196285232629,3.275027943311239
121,18.193547004179973,3.1056111268416267
122,6.0094765317544,2.9997676470603323
123,6.080965515199668,3.4954058043865572
124,5.810351065318306,3.56830007648027
125,6.264153151958508,2.537274930348399
126,20.97672746906776,3.3704074761036815
127,5.076024912600329,3.088057318198279
128,5.361569672239226,3.30469811305485
129,4.762285489027448,2.6860981911728623
130,6.008247658219427,3.396860958387628
131,114.34876924954827,8.876348110773304
132,3.9881740738040055,2.227037562331379
133,5.79069616260851,2.6631458881058157
134,5.564684385259134,2.9859760563338247
135,5.383026854062299,2.510901206923763
136,6.174523636457567,2.5574595179915
137,5.791243097452272,2.7557283408422246
138,6.14891528478436,3.13982513275147
139,5.654919618599437,3.420837061388396
140,4.368730811470127,2.084092943387506
141,10.604095301472512,3.3001791320811025
142,11.57336620415121,3.7504970843217
143,398.74532602867527,12.66971425626637
144,94.12066454860958,5.03489854830584
145,6.3087053571022755,3.066698726355891
146,5.971507735872012,2.5625145487354155
147,5.703276736165906,2.9221369633770267
148,5.538855509452397,2.0522788976031814
149,9.394155790623476,3.0978020104174764
150,5.720870608005187,2.9162918535040587
151,5.953904703431205,2.6779522233777104
152,6.270835557365341,2.5150027801743113
153,18.997793417626742,3.629066378176647
154,6.271433059901594,2.1763459915529753
155,97.41397662464773,6.697507876375683
156,110.37079458461945,7.897080325610334
157,412.0985036592659,17.414281917900237
158,23.030149410529745,3.597440895308509
159,53.787502276847285,4.881879004329958
160,5.734613475000332,2.673340602664529
161,5.900193861347343,2.9403689380322575
162,9.088592953922868,3.1496639089653065
163,29.781705166421908,4.008734596639224
164,71.81216407206243,4.819125285964798
165,5.526559552157213,2.6868017937374797
166,6.058004006640646,2.150413986934086
167,5.923341555546656,2.548877556287896
168,5.598982984645433,2.9830818479793644
169,7.212220835650948,3.8139596298265843
170,220.54470282477251,8.0486994526695
171,5.8064186711490855,2.884591572493754
172,5.983379918326479,3.2447476301505467
173,96.51831356664457,5.532459639859947
174,33.61228013735183,3.1335133569089786
175,66.35017613949671,3.9525501771931673
176,7.358769559535296,2.619087452972132
177,9.668806195749788,2.853332326476919
178,9.523555020091393,3.3662478484983063
179,6.101095902768928,3.8162182935064544
180,35.535657488323196,3.842932613152911
181,5.751575276597304,2.5847940555807685
182,19.92931721030918,3.9531437439626815
183,265.85107408632854,8.815850159155527
184,6.809721650051236,4.002041749617485
185,20.738855520249082,2.9891937223806364
186,13.893694538366097,3.047095676686743
187,5.156551792086512,2.974718683055646
188,5.731910189188531,2.7871290523886136
189,6.209235315351544,3.405828943885004
190,6.395250132882423,3.4303944890036546
191,6.145499210848659,3.9054028625160377
192,5.831914873394794,2.700992138381012
193,5.60028314304741,2.6453022513447855
194,5.57815743167827,3.2774365246425363
195,4.591142833912567,2.122505298371535
196,7.730469523309556,3.7814059491655527
197,6.275774945078168,2.901684044975732
198,12.027010802751931,2.9528350607080047
199,11.369593059710802,4.140213556705364
