gen,best,avg
0,521.77787900366,-27.148927273372653
1,879.8595599128272,23.590651210920225
2,993.5367998432873,96.37631747713917
3,951.7739538198821,129.80865110572023
4,921.8727019408176,125.34702472346939
5,1001.3430726709121,121.97304700066579
6,979.3128195449447,127.68969161144055
7,1016.7311183511914,129.82432269901435
8,980.898069607377,122.38589898190712
9,1007.223159232414,141.9999144544755
10,991.5882387915188,181.5628294459931
11,972.6040013633118,180.47775405821284
12,1006.6038941740552,175.70961411108865
13,973.7030373682741,173.78663882683486
14,988.5380880730578,164.00577194956495
15,986.8316307633977,128.33007049054788
16,985.306144450206,174.18624189336163
17,980.3133356972772,111.93095346490759
18,975.687224738002,159.61321523515593
19,982.140009628265,164.66438507684848
20,976.1950274560849,136.82987834108047
21,983.9202523057871,180.01973002533214
22,975.1768200107507,193.03317563946456
23,982.5056720934475,209.94123541865966
24,994.5601068046686,215.7130465624476
25,1009.3341755207558,175.67684361096588
26,1000.9736227335189,245.25922201901116
27,987.9140554091115,181.88389235789728
28,1013.5990038395154,283.3417417296706
29,971.524843359773,179.36030395410222
30,1000.2456585890876,157.4385636970467
31,1015.3299262697841,196.19153637061862
32,1031.987180788295,231.97005240491634
33,1036.3338771297772,191.93248043819287
34,1016.4477458975653,218.40027660096575
35,1036.4901600837095,187.6040894008709
36,1024.9124492303777,201.8229725650114
37,1038.7983520607772,247.7182339207915
38,1034.7081576882838,141.8807473025425
39,1030.8116200360787,167.45960427391827
40,1023.3952110598437,175.14751781291906
41,1028.2912902665878,205.7448410280932
42,1035.7957123893325,223.47752999844866
43,1031.739022942401,192.29135615033508
44,1033.722053389577,167.19872271868192
45,1031.430012236068,190.4780632533852
46,1055.4607404157675,237.28325143333063
47,1077.8627702474428,217.71115620704822
48,1088.0073380454508,188.33705104347823
49,1078.6382163682038,175.855791775511
50,1085.8622731872688,219.0787081078137
51,1078.267526230481,234.4067780616383
52,1073.503554686526,234.89932238847797
53,1077.057210429559,388.7543529138816
54,1076.6701056030354,254.24048624784677
55,1116.8319164154486,334.20731658529473
56,1082.4341763013192,263.0310160965354
57,1077.0473507848023,297.1502552961481
58,1075.9188309915912,295.93965623836027
59,1076.3388683719102,295.6488588621155
60,1095.578178808217,250.13915300777995
61,1092.747267488999,219.2142339594619
62,1073.9700849970777,209.00435689740348
63,1077.9000107383583,155.24636594935936
64,1083.7143861444172,327.19542606016995
65,1081.691015567021,284.0004088124257
66,1086.0923296665528,420.3614268175099
67,1040.2710547806626,362.41339464360044
68,1079.553985753344,247.1772050153515
69,1086.2794515179526,427.70154132876166
70,1084.7018014391704,332.60899207127443
71,1076.8635390370707,432.429127696338
72,1117.032171636898,295.6330511217413
73,1079.9164621889768,291.78795120073136
74,1089.6546035988624,364.2586090846869
75,1116.7556322513456,439.42192596818916
76,1076.9344445408153,306.4798354911194
77,1077.5815831567459,320.96864193390184
78,1084.1707516018967,393.23225384885626
79,1106.3613579758717,368.07849288757336
80,1110.0229153258813,343.5677282251104
81,1128.4469581624107,360.75210550897646
82,1105.5875573011963,381.5960292073898
83,1134.6573533338033,445.3801833224896
84,1081.440919095965,305.4045877071875
85,1132.5945093293492,389.3249762868404
86,1144.2169228299558,377.5497833816233
87,1104.0679208463785,359.8447835673669
88,1152.159972871393,408.541001413721
89,1098.648616487195,331.09314291256715
90,1105.3143242129734,398.0105008865438
91,1105.9575926795053,344.39381558122443
92,1134.4345473451122,411.55194849777433
93,1165.907143053893,453.9796071499669
94,1140.184957100298,381.609408548875
95,1126.2044248268116,392.2822444661864
96,1129.1870966299414,371.92081996371775
97,1167.897270243031,389.711071273536
98,1128.3025327753667,342.9493861441345
99,1127.928251991368,357.46974563863944
100,1124.6824612067376,432.7929917412539
101,1093.7790992945613,259.61823947891946
102,1128.5859343629263,411.6023340937838
103,1164.1424453759266,325.83300158266877
104,1158.5604853824548,503.48143018136204
105,1112.2773539301184,310.17410049122435
106,1142.541749950404,400.0922174900947
107,1111.344881969405,264.8260239109753
108,1112.2445885742698,382.5899684387099
109,1143.2538557802047,357.07385306369963
110,1110.625345199463,372.7455951722971
111,1110.9297393945212,418.0181514878715
112,1110.2889281911746,363.7488120280051
113,1113.0356036507594,414.809184384937
114,1116.3835158139846,388.99896407937257
115,1143.1490306959136,376.9716139047914
116,1197.7969423190254,319.97568063703676
117,1151.761526372892,480.10976985830257
118,1190.045285934008,423.10740221053163
119,1185.5795255475605,294.45425631267335
120,1152.0315572771883,290.3490073833803
121,1191.8706538478025,367.3239448469394
122,1161.0296214805467,333.39749363681176
123,1146.2043466744703,397.7555962717577
124,1112.3970900109957,294.3842143285788
125,1187.1448518425373,443.89787748907077
126,1187.019053358179,367.64081259949927
127,1183.5871888264783,393.0555010271184
128,1119.8289624235358,307.65286498751914
129,1133.9480971853366,362.73637975725916
130,1136.5127966196333,343.21522045619065
131,1171.049954743884,363.9556567618233
132,1179.8925914612694,295.3483536000469
133,1140.219873898749,300.4151380892211
134,1125.7690766846883,313.1294040351092
135,1139.5226340462846,370.4356519602946
136,1168.792245308999,341.9323218714609
137,1141.19047592625,301.07398426530995
138,1137.5700009905395,328.71769391366934
139,1140.6827654096137,378.64856430474856
140,1132.1947317448746,271.4811513550935
141,1119.8648328945112,296.87416954795015
142,1161.171427623701,396.28845364481447
143,1173.1040278236137,341.3245148045538
144,1177.779754930919,321.50298521414607
145,1121.9903720899572,310.8413811253116
